index,balance
847,12786.351595305441
848,12914.215111258496
849,12903.44728320575
850,12852.428195099927
851,12808.598450001296
852,12960.664002375712
853,12893.831350839455
854,12911.370753779931
855,12929.414830347163
856,12928.881933290786
857,13058.170752623693
858,13058.940238230804
859,13032.639024900021
860,12902.312634651022
861,12834.258839223667
862,12731.247024856211
863,12731.319320410015
864,13192.280882010924
865,13060.358073190815
866,12929.754492458907
867,12868.270345222041
868,12869.959094611184
869,12839.10887244478
870,13095.891049893677
871,13053.258349480833
872,13203.82316113574
873,13398.567431749798
874,13532.553106067297
875,13582.45439564592
876,13583.11695439693
877,13576.455724334006
878,13608.798738251282
879,13598.818541802226
880,13590.913024428148
881,13578.501854481101
882,13482.597002800245
883,13347.771032772242
884,13614.726453427687
885,14175.955732785458
886,14122.244953291753
887,13981.022503758835
888,13841.212278721247
889,13702.800155934034
890,13689.505267138864
891,13552.610214467475
892,13534.729214622681
893,13805.423798915135
894,13667.369560925983
895,14451.070751934196
896,14426.963187492478
897,14282.693555617554
898,14283.938777374804
899,14426.778165148553
900,14282.510383497067
901,14288.638193232562
902,14289.195038056929
903,14208.564227278432
904,14358.209444230777
905,14383.577305439665
906,14344.054863294084
907,14200.614314661143
908,14342.620457807754
909,14486.046662385832
910,14341.186195761973
911,14484.598057719593
912,14339.752077142397
913,17043.672234997084
914,16873.235512647112
915,16825.12972163926
916,16713.19685026936
917,16687.067543468176
918,16688.010315645777
919,16521.13021248932
920,16521.866776475614
921,17101.30127122845
922,16930.288258516168
923,18729.131385982397
924,18788.792731929705
925,18662.00189820352
926,18475.381879221488
927,18477.68267397607
928,18478.35507873131
929,18441.829141300303
930,18405.5648285832
931,18506.165107577777
932,18734.620525112703
933,18825.811838820882
934,18698.015546809667
935,18972.701501821048
936,18889.447164811307
937,18700.552693163194
938,18513.54716623156
939,18328.411694569244
940,18145.127577623552
941,18018.916886319963
942,17987.013891979448
943,18013.373480266582
944,17982.196487704587
945,17976.155593572006
946,17861.478666553525
947,17682.86387988799
948,17684.472875691445
949,17666.86281153753
950,17490.194183422154
951,17865.88989533805
952,20165.64543935357
953,19963.988984960037
954,19764.349095110436
955,22226.594722838086
956,22234.968378507627
957,22679.66774607778
958,24538.062826482965
959,24378.586576824768
960,24134.80071105652
961,23893.452703945954
962,23654.518176906495
963,23417.97299513743
964,23374.914657914655
965,23608.6638044938
966,25635.55873298723
967,25379.203145657357
968,25266.985152261943
969,25267.234161675096
970,25323.245870410105
971,25576.478329114205
972,25598.53159227291
973,25598.985950306145
974,25854.975809809206
975,25855.852249667172
976,25898.053404137354
977,25784.879049031715
978,25785.864709545825
979,25528.006062450368
980,25272.726001825864
981,25576.934740736793
982,25832.70408814416
983,26091.031129025603
984,25830.120817735347
985,25571.819609557995
986,25438.62851508097
987,25735.48782119837
988,25760.979637248514
989,25817.486491191044
990,25559.311626279134
991,25303.71851001634
992,25394.521533153627
993,25325.820673635448
994,25349.384635040922
995,25187.659368236018
996,25189.049415662525
997,25079.841078494963
998,25330.639489279914
999,25321.454715419306
1000,25322.691114575337
1001,27120.145461826312
1002,27662.54837106284
1003,27583.275447489097
1004,27728.952966265777
1005,27598.17997379667
1006,27550.73915620345
1007,27433.250670180834
1008,27158.918163479026
1009,26887.328981844235
1010,26888.518686666444
1011,26889.587387727126
1012,26620.691513849855
1013,26577.225958003488
1014,26578.918774943493
1015,26656.489265072425
1016,26493.401785958973
1017,26473.248685455135
1018,26505.330050652112
1019,26382.207106604936
1020,26559.85001115943
1021,30711.110546052947
1022,30403.99944059242
1023,30305.215782087846
1024,30526.111647124075
1025,30449.124292970002
1026,30276.383474138405
1027,30317.301345750573
1028,30014.12833229307
1029,29713.98704897014
1030,30260.9945378262
1031,32104.67364948275
1032,31943.01734171528
1033,31860.20211157009
1034,31541.60009045439
1035,31226.184089549846
1036,30913.922248654348
1037,30851.708190027908
1038,30880.04559735008
1039,31057.91994993438
1040,30747.340750435036
1041,30768.468445812345
1042,30616.152042054444
1043,30309.9905216339
1044,30311.31699824317
1045,30312.39034516237
1046,33315.95156232235
1047,33613.51805736473
1048,33414.23448953819
1049,34633.52518638127
1050,34552.73596821952
1051,34616.14381790355
1052,34443.03233984493
1053,34443.49584451913
1054,34312.641823388745
1055,34223.580106709676
1056,34109.25323954145
1057,33940.76855265033
1058,33601.360867123825
1059,33516.4793806128
1060,33851.64417441893
1061,34190.16061616312
1062,34161.57573284429
1063,34128.65790380075
1064,33787.37132476274
1065,33644.41351424489
1066,33457.7704351421
1067,34126.92584384494
1068,33785.65658540649
1069,33447.80001955242
1070,33782.278019747944
1071,33444.455239550465
1072,33778.89979194597
1073,33781.20394609278
1074,33443.39190663185
1075,33275.4908332958
1076,33941.000649961716
1077,33986.81877665824
1078,33988.27431493562
1079,34328.15705808497
1080,39382.77545955311
1081,39776.603214148636
1082,39985.5783995058
1083,39910.115757562424
1084,39912.64651950013
1085,40102.71895568875
1086,40173.12372911721
1087,40180.09822976465
1088,39778.297247467
1089,40573.86319241634
1090,40979.601824340505
1091,40846.09684975599
1092,40632.4704102142
1093,40226.14570611205
1094,40021.2302595715
1095,40821.65486476293
1096,40731.836698494095
1097,41546.47343246398
1098,41131.00869813934
1099,41542.31878512073
1100,41126.895597269526
1101,40912.32048980551
1102,40914.0681327141
1103,40567.77395687515
1104,40327.013037522396
1105,39923.74290714717
1106,39926.08722557978
1107,40325.34809783558
1108,40153.611182628854
1109,40022.37219380744
1110,40035.538941324405
1111,39952.653723417316
1112,39956.01108927644
1113,39848.23426813089
1114,39849.82438123018
1115,40646.82086885478
1116,40723.445063053405
1117,40724.92807270611
1118,40645.756145688916
1119,40619.37753214009
1120,40385.361416805674
1121,40239.60439056544
1122,41044.396478376744
1123,40633.95251359298
1124,40515.8960632521
1125,40110.737102619576
1126,40409.50432136754
1127,40207.62350563662
1128,41011.775975749355
1129,40877.09611860591
1130,41694.638040978025
1131,42111.58442138781
1132,42367.0510073242
1133,42845.12866970173
1134,43960.740278132675
1135,43521.132875351344
